x1;y1;x2;y2;P
-200;650;200;0;0,47635434728940
-1100;650;-200;0;0,01182227635540
1100;650;200;0;0,01182227635540
-1100;-350;1100;0;0,49921268747591
-1100;-1000;1100;-350;0,00008350483186
-1100;-1150;1100;-1000;0,00000000002645
-1700;-150;-1100;-650;0,00000000003435
-1700;-650;-1100;-1750;0,00000000000000
1100;-150;1700;-650;0,00000000003435
1100;-650;1700;-1750;0,00000000000000
